site,sample,trmt,breadth_mm,breadth_um,freq
tool,41-50-16,before,0.005,5,0
tool,41-50-16,before,0.01,10,0
tool,41-50-16,before,0.015,15,0
tool,41-50-16,before,0.02,20,0.004140787
tool,41-50-16,before,0.025,25,0.075569358
tool,41-50-16,before,0.03,30,0.109730849
tool,41-50-16,before,0.035,35,0.106625259
tool,41-50-16,before,0.04,40,0.079710145
tool,41-50-16,before,0.045,45,0.086956522
tool,41-50-16,before,0.05,50,0.062111801
tool,41-50-16,before,0.055,55,0.062111801
tool,41-50-16,before,0.06,60,0.048654244
tool,41-50-16,before,0.065,65,0.045548654
tool,41-50-16,before,0.07,70,0.036231884
tool,41-50-16,before,0.075,75,0.027950311
tool,41-50-16,before,0.08,80,0.041407867
tool,41-50-16,before,0.085,85,0.020703934
tool,41-50-16,before,0.09,90,0.026915114
tool,41-50-16,before,0.095,95,0.026915114
tool,41-50-16,before,0.1,100,0.020703934
tool,41-50-16,before,0.105,105,0.01552795
tool,41-50-16,before,0.11,110,0.016563147
tool,41-50-16,before,0.115,115,0.010351967
tool,41-50-16,before,0.12,120,0.00931677
tool,41-50-16,before,0.125,125,0.01242236
tool,41-50-16,before,0.13,130,0.011387164
tool,41-50-16,before,0.135,135,0.008281573
tool,41-50-16,before,0.14,140,0.007246377
tool,41-50-16,before,0.145,145,0.007246377
tool,41-50-16,before,0.15,150,0.007246377
tool,41-50-16,before,0.155,155,0.00931677
tool,41-50-16,before,0.16,160,0.00310559
tool,41-50-16,after,0.005,5,0
tool,41-50-16,after,0.01,10,0
tool,41-50-16,after,0.015,15,0
tool,41-50-16,after,0.02,20,0.009174312
tool,41-50-16,after,0.025,25,0.110091743
tool,41-50-16,after,0.03,30,0.128440367
tool,41-50-16,after,0.035,35,0.110091743
tool,41-50-16,after,0.04,40,0.082568807
tool,41-50-16,after,0.045,45,0.082568807
tool,41-50-16,after,0.05,50,0.04587156
tool,41-50-16,after,0.055,55,0.082568807
tool,41-50-16,after,0.06,60,0.036697248
tool,41-50-16,after,0.065,65,0.064220183
tool,41-50-16,after,0.07,70,0.036697248
tool,41-50-16,after,0.075,75,0.009174312
tool,41-50-16,after,0.08,80,0.027522936
tool,41-50-16,after,0.085,85,0.018348624
tool,41-50-16,after,0.09,90,0.009174312
tool,41-50-16,after,0.095,95,0.027522936
tool,41-50-16,after,0.1,100,0.018348624
tool,41-50-16,after,0.105,105,0.018348624
tool,41-50-16,after,0.11,110,0.018348624
tool,41-50-16,after,0.115,115,0.018348624
tool,41-50-16,after,0.12,120,0
tool,41-50-16,after,0.125,125,0
tool,41-50-16,after,0.13,130,0.018348624
tool,41-50-16,after,0.135,135,0.009174312
tool,41-50-16,after,0.14,140,0.009174312
tool,41-50-16,after,0.145,145,0
tool,41-50-16,after,0.15,150,0.009174312
tool,41-50-16,after,0.155,155,0
tool,41-50-16,after,0.16,160,0
tool,28-38-12,before,0.005,5,0
tool,28-38-12,before,0.01,10,0
tool,28-38-12,before,0.015,15,0.007246377
tool,28-38-12,before,0.02,20,0
tool,28-38-12,before,0.025,25,0.02173913
tool,28-38-12,before,0.03,30,0.086956522
tool,28-38-12,before,0.035,35,0.101449275
tool,28-38-12,before,0.04,40,0.101449275
tool,28-38-12,before,0.045,45,0.065217391
tool,28-38-12,before,0.05,50,0.072463768
tool,28-38-12,before,0.055,55,0.028985507
tool,28-38-12,before,0.06,60,0.028985507
tool,28-38-12,before,0.065,65,0.036231884
tool,28-38-12,before,0.07,70,0.057971014
tool,28-38-12,before,0.075,75,0.02173913
tool,28-38-12,before,0.08,80,0.014492754
tool,28-38-12,before,0.085,85,0.014492754
tool,28-38-12,before,0.09,90,0.036231884
tool,28-38-12,before,0.095,95,0.050724638
tool,28-38-12,before,0.1,100,0.043478261
tool,28-38-12,before,0.105,105,0.036231884
tool,28-38-12,before,0.11,110,0.043478261
tool,28-38-12,before,0.115,115,0.028985507
tool,28-38-12,before,0.12,120,0.036231884
tool,28-38-12,before,0.125,125,0.028985507
tool,28-38-12,before,0.13,130,0.014492754
tool,28-38-12,before,0.135,135,0.007246377
tool,28-38-12,before,0.14,140,0
tool,28-38-12,before,0.145,145,0.007246377
tool,28-38-12,before,0.15,150,0
tool,28-38-12,before,0.155,155,0
tool,28-38-12,before,0.16,160,0.007246377
tool,28-38-12,after,0.005,5,0
tool,28-38-12,after,0.01,10,0
tool,28-38-12,after,0.015,15,0
tool,28-38-12,after,0.02,20,0.014285714
tool,28-38-12,after,0.025,25,0.071428571
tool,28-38-12,after,0.03,30,0.071428571
tool,28-38-12,after,0.035,35,0.042857143
tool,28-38-12,after,0.04,40,0.057142857
tool,28-38-12,after,0.045,45,0.042857143
tool,28-38-12,after,0.05,50,0.057142857
tool,28-38-12,after,0.055,55,0.014285714
tool,28-38-12,after,0.06,60,0.028571429
tool,28-38-12,after,0.065,65,0.128571429
tool,28-38-12,after,0.07,70,0.085714286
tool,28-38-12,after,0.075,75,0.042857143
tool,28-38-12,after,0.08,80,0.042857143
tool,28-38-12,after,0.085,85,0.071428571
tool,28-38-12,after,0.09,90,0.028571429
tool,28-38-12,after,0.095,95,0.014285714
tool,28-38-12,after,0.1,100,0.042857143
tool,28-38-12,after,0.105,105,0
tool,28-38-12,after,0.11,110,0.042857143
tool,28-38-12,after,0.115,115,0.042857143
tool,28-38-12,after,0.12,120,0.014285714
tool,28-38-12,after,0.125,125,0
tool,28-38-12,after,0.13,130,0
tool,28-38-12,after,0.135,135,0
tool,28-38-12,after,0.14,140,0
tool,28-38-12,after,0.145,145,0.042857143
tool,28-38-12,after,0.15,150,0
tool,28-38-12,after,0.155,155,0
tool,28-38-12,after,0.16,160,0
tool,28-38-28,before,0.005,5,0
tool,28-38-28,before,0.01,10,0
tool,28-38-28,before,0.015,15,0.003937008
tool,28-38-28,before,0.02,20,0.003937008
tool,28-38-28,before,0.025,25,0.043307087
tool,28-38-28,before,0.03,30,0.051181102
tool,28-38-28,before,0.035,35,0.122047244
tool,28-38-28,before,0.04,40,0.098425197
tool,28-38-28,before,0.045,45,0.098425197
tool,28-38-28,before,0.05,50,0.078740157
tool,28-38-28,before,0.055,55,0.059055118
tool,28-38-28,before,0.06,60,0.082677165
tool,28-38-28,before,0.065,65,0.047244094
tool,28-38-28,before,0.07,70,0.019685039
tool,28-38-28,before,0.075,75,0.047244094
tool,28-38-28,before,0.08,80,0.027559055
tool,28-38-28,before,0.085,85,0.019685039
tool,28-38-28,before,0.09,90,0.023622047
tool,28-38-28,before,0.095,95,0.019685039
tool,28-38-28,before,0.1,100,0.015748031
tool,28-38-28,before,0.105,105,0.023622047
tool,28-38-28,before,0.11,110,0.027559055
tool,28-38-28,before,0.115,115,0.007874016
tool,28-38-28,before,0.12,120,0.011811024
tool,28-38-28,before,0.125,125,0.015748031
tool,28-38-28,before,0.13,130,0.011811024
tool,28-38-28,before,0.135,135,0.015748031
tool,28-38-28,before,0.14,140,0.003937008
tool,28-38-28,before,0.145,145,0.003937008
tool,28-38-28,before,0.15,150,0.011811024
tool,28-38-28,before,0.155,155,0.003937008
tool,28-38-28,before,0.16,160,0
tool,28-38-28,after,0.005,5,0
tool,28-38-28,after,0.01,10,0
tool,28-38-28,after,0.015,15,0
tool,28-38-28,after,0.02,20,0.004310345
tool,28-38-28,after,0.025,25,0.103448276
tool,28-38-28,after,0.03,30,0.099137931
tool,28-38-28,after,0.035,35,0.0625
tool,28-38-28,after,0.04,40,0.096982759
tool,28-38-28,after,0.045,45,0.081896552
tool,28-38-28,after,0.05,50,0.066810345
tool,28-38-28,after,0.055,55,0.040948276
tool,28-38-28,after,0.06,60,0.036637931
tool,28-38-28,after,0.065,65,0.056034483
tool,28-38-28,after,0.07,70,0.040948276
tool,28-38-28,after,0.075,75,0.038793103
tool,28-38-28,after,0.08,80,0.023706897
tool,28-38-28,after,0.085,85,0.034482759
tool,28-38-28,after,0.09,90,0.030172414
tool,28-38-28,after,0.095,95,0.025862069
tool,28-38-28,after,0.1,100,0.019396552
tool,28-38-28,after,0.105,105,0.019396552
tool,28-38-28,after,0.11,110,0.021551724
tool,28-38-28,after,0.115,115,0.010775862
tool,28-38-28,after,0.12,120,0.021551724
tool,28-38-28,after,0.125,125,0.015086207
tool,28-38-28,after,0.13,130,0.012931034
tool,28-38-28,after,0.135,135,0.002155172
tool,28-38-28,after,0.14,140,0.006465517
tool,28-38-28,after,0.145,145,0.002155172
tool,28-38-28,after,0.15,150,0.00862069
tool,28-38-28,after,0.155,155,0.010775862
tool,28-38-28,after,0.16,160,0.006465517
tool,40-50-28,before,0.005,5,0
tool,40-50-28,before,0.01,10,0
tool,40-50-28,before,0.015,15,0
tool,40-50-28,before,0.02,20,0
tool,40-50-28,before,0.025,25,0.05
tool,40-50-28,before,0.03,30,0.075
tool,40-50-28,before,0.035,35,0
tool,40-50-28,before,0.04,40,0.05
tool,40-50-28,before,0.045,45,0.075
tool,40-50-28,before,0.05,50,0.1
tool,40-50-28,before,0.055,55,0.05
tool,40-50-28,before,0.06,60,0.2
tool,40-50-28,before,0.065,65,0.1
tool,40-50-28,before,0.07,70,0.05
tool,40-50-28,before,0.075,75,0.025
tool,40-50-28,before,0.08,80,0.075
tool,40-50-28,before,0.085,85,0.05
tool,40-50-28,before,0.09,90,0
tool,40-50-28,before,0.095,95,0
tool,40-50-28,before,0.1,100,0.025
tool,40-50-28,before,0.105,105,0.025
tool,40-50-28,before,0.11,110,0
tool,40-50-28,before,0.115,115,0.025
tool,40-50-28,before,0.12,120,0
tool,40-50-28,before,0.125,125,0
tool,40-50-28,before,0.13,130,0
tool,40-50-28,before,0.135,135,0
tool,40-50-28,before,0.14,140,0
tool,40-50-28,before,0.145,145,0.025
tool,40-50-28,before,0.15,150,0
tool,40-50-28,before,0.155,155,0
tool,40-50-28,before,0.16,160,0
tool,40-50-28,after,0.005,5,0
tool,40-50-28,after,0.01,10,0
tool,40-50-28,after,0.015,15,0
tool,40-50-28,after,0.02,20,0
tool,40-50-28,after,0.025,25,0.088235294
tool,40-50-28,after,0.03,30,0.058823529
tool,40-50-28,after,0.035,35,0.176470588
tool,40-50-28,after,0.04,40,0.029411765
tool,40-50-28,after,0.045,45,0.117647059
tool,40-50-28,after,0.05,50,0.088235294
tool,40-50-28,after,0.055,55,0.029411765
tool,40-50-28,after,0.06,60,0.029411765
tool,40-50-28,after,0.065,65,0.117647059
tool,40-50-28,after,0.07,70,0.088235294
tool,40-50-28,after,0.075,75,0.029411765
tool,40-50-28,after,0.08,80,0.029411765
tool,40-50-28,after,0.085,85,0.029411765
tool,40-50-28,after,0.09,90,0.029411765
tool,40-50-28,after,0.095,95,0
tool,40-50-28,after,0.1,100,0
tool,40-50-28,after,0.105,105,0
tool,40-50-28,after,0.11,110,0.058823529
tool,40-50-28,after,0.115,115,0
tool,40-50-28,after,0.12,120,0
tool,40-50-28,after,0.125,125,0
tool,40-50-28,after,0.13,130,0
tool,40-50-28,after,0.135,135,0
tool,40-50-28,after,0.14,140,0
tool,40-50-28,after,0.145,145,0
tool,40-50-28,after,0.15,150,0
tool,40-50-28,after,0.155,155,0
tool,40-50-28,after,0.16,160,0
tool,41-50-28,before,0.005,5,0
tool,41-50-28,before,0.01,10,0
tool,41-50-28,before,0.015,15,0.002747253
tool,41-50-28,before,0.02,20,0.008241758
tool,41-50-28,before,0.025,25,0.057692308
tool,41-50-28,before,0.03,30,0.093406593
tool,41-50-28,before,0.035,35,0.112637363
tool,41-50-28,before,0.04,40,0.074175824
tool,41-50-28,before,0.045,45,0.082417582
tool,41-50-28,before,0.05,50,0.046703297
tool,41-50-28,before,0.055,55,0.071428571
tool,41-50-28,before,0.06,60,0.041208791
tool,41-50-28,before,0.065,65,0.052197802
tool,41-50-28,before,0.07,70,0.032967033
tool,41-50-28,before,0.075,75,0.054945055
tool,41-50-28,before,0.08,80,0.043956044
tool,41-50-28,before,0.085,85,0.032967033
tool,41-50-28,before,0.09,90,0.019230769
tool,41-50-28,before,0.095,95,0.024725275
tool,41-50-28,before,0.1,100,0.019230769
tool,41-50-28,before,0.105,105,0.010989011
tool,41-50-28,before,0.11,110,0.010989011
tool,41-50-28,before,0.115,115,0.016483516
tool,41-50-28,before,0.12,120,0.021978022
tool,41-50-28,before,0.125,125,0.008241758
tool,41-50-28,before,0.13,130,0.021978022
tool,41-50-28,before,0.135,135,0.010989011
tool,41-50-28,before,0.14,140,0.002747253
tool,41-50-28,before,0.145,145,0.008241758
tool,41-50-28,before,0.15,150,0.010989011
tool,41-50-28,before,0.155,155,0.002747253
tool,41-50-28,before,0.16,160,0.002747253
tool,41-50-28,after,0.005,5,0
tool,41-50-28,after,0.01,10,0
tool,41-50-28,after,0.015,15,0.016129032
tool,41-50-28,after,0.02,20,0
tool,41-50-28,after,0.025,25,0.080645161
tool,41-50-28,after,0.03,30,0.064516129
tool,41-50-28,after,0.035,35,0.064516129
tool,41-50-28,after,0.04,40,0.096774194
tool,41-50-28,after,0.045,45,0.048387097
tool,41-50-28,after,0.05,50,0.032258065
tool,41-50-28,after,0.055,55,0.112903226
tool,41-50-28,after,0.06,60,0.096774194
tool,41-50-28,after,0.065,65,0.080645161
tool,41-50-28,after,0.07,70,0.048387097
tool,41-50-28,after,0.075,75,0.016129032
tool,41-50-28,after,0.08,80,0.032258065
tool,41-50-28,after,0.085,85,0
tool,41-50-28,after,0.09,90,0.048387097
tool,41-50-28,after,0.095,95,0.080645161
tool,41-50-28,after,0.1,100,0
tool,41-50-28,after,0.105,105,0.016129032
tool,41-50-28,after,0.11,110,0
tool,41-50-28,after,0.115,115,0
tool,41-50-28,after,0.12,120,0.016129032
tool,41-50-28,after,0.125,125,0.032258065
tool,41-50-28,after,0.13,130,0
tool,41-50-28,after,0.135,135,0
tool,41-50-28,after,0.14,140,0
tool,41-50-28,after,0.145,145,0
tool,41-50-28,after,0.15,150,0
tool,41-50-28,after,0.155,155,0.016129032
tool,41-50-28,after,0.16,160,0
tool,40-50-16,before,0.005,5,0
tool,40-50-16,before,0.01,10,0
tool,40-50-16,before,0.015,15,0
tool,40-50-16,before,0.02,20,0
tool,40-50-16,before,0.025,25,0.076923077
tool,40-50-16,before,0.03,30,0.094017094
tool,40-50-16,before,0.035,35,0.106837607
tool,40-50-16,before,0.04,40,0.081196581
tool,40-50-16,before,0.045,45,0.076923077
tool,40-50-16,before,0.05,50,0.072649573
tool,40-50-16,before,0.055,55,0.05982906
tool,40-50-16,before,0.06,60,0.064102564
tool,40-50-16,before,0.065,65,0.047008547
tool,40-50-16,before,0.07,70,0.05982906
tool,40-50-16,before,0.075,75,0.047008547
tool,40-50-16,before,0.08,80,0.038461538
tool,40-50-16,before,0.085,85,0.017094017
tool,40-50-16,before,0.09,90,0.017094017
tool,40-50-16,before,0.095,95,0.017094017
tool,40-50-16,before,0.1,100,0.017094017
tool,40-50-16,before,0.105,105,0.012820513
tool,40-50-16,before,0.11,110,0.017094017
tool,40-50-16,before,0.115,115,0.012820513
tool,40-50-16,before,0.12,120,0.012820513
tool,40-50-16,before,0.125,125,0.004273504
tool,40-50-16,before,0.13,130,0.017094017
tool,40-50-16,before,0.135,135,0.004273504
tool,40-50-16,before,0.14,140,0.008547009
tool,40-50-16,before,0.145,145,0.004273504
tool,40-50-16,before,0.15,150,0.004273504
tool,40-50-16,before,0.155,155,0.008547009
tool,40-50-16,before,0.16,160,0
tool,40-50-16,after,0.005,5,0
tool,40-50-16,after,0.01,10,0
tool,40-50-16,after,0.015,15,0
tool,40-50-16,after,0.02,20,0.008928571
tool,40-50-16,after,0.025,25,0.098214286
tool,40-50-16,after,0.03,30,0.080357143
tool,40-50-16,after,0.035,35,0.098214286
tool,40-50-16,after,0.04,40,0.089285714
tool,40-50-16,after,0.045,45,0.0625
tool,40-50-16,after,0.05,50,0.053571429
tool,40-50-16,after,0.055,55,0.080357143
tool,40-50-16,after,0.06,60,0.035714286
tool,40-50-16,after,0.065,65,0.044642857
tool,40-50-16,after,0.07,70,0.071428571
tool,40-50-16,after,0.075,75,0.026785714
tool,40-50-16,after,0.08,80,0.035714286
tool,40-50-16,after,0.085,85,0.008928571
tool,40-50-16,after,0.09,90,0.026785714
tool,40-50-16,after,0.095,95,0.026785714
tool,40-50-16,after,0.1,100,0.035714286
tool,40-50-16,after,0.105,105,0.008928571
tool,40-50-16,after,0.11,110,0.017857143
tool,40-50-16,after,0.115,115,0.017857143
tool,40-50-16,after,0.12,120,0.017857143
tool,40-50-16,after,0.125,125,0.008928571
tool,40-50-16,after,0.13,130,0
tool,40-50-16,after,0.135,135,0
tool,40-50-16,after,0.14,140,0.008928571
tool,40-50-16,after,0.145,145,0.008928571
tool,40-50-16,after,0.15,150,0
tool,40-50-16,after,0.155,155,0.026785714
tool,40-50-16,after,0.16,160,0
